,WT_1,KO_1,WT_2,KO_2,WT_3,KO_3
ENSMUSG00000101249,810,746,990,1272,679,1624
ENSMUSG00000073725,2820,2486,2609,2383,3123,2640
ENSMUSG00000100808,0,0,0,0,0,0
ENSMUSG00000100483,0,0,0,0,0,0
ENSMUSG00000100450,0,0,0,0,0,0
ENSMUSG00000099392,0,0,0,0,0,0
ENSMUSG00000033569,0,0,0,0,1,0
ENSMUSG00000080849,0,0,0,0,0,0
ENSMUSG00000104257,0,0,0,0,0,0
ENSMUSG00000096866,0,0,0,0,0,0
ENSMUSG00000102296,0,0,0,0,0,0
ENSMUSG00000103209,0,0,0,0,0,0
ENSMUSG00000104027,0,0,0,0,0,0
ENSMUSG00000102407,0,0,0,0,0,0
ENSMUSG00000103214,0,0,0,0,0,0
ENSMUSG00000104100,0,0,0,0,0,0
ENSMUSG00000084740,0,0,0,0,0,0
ENSMUSG00000103889,0,0,0,0,0,0
ENSMUSG00000101301,0,0,0,0,0,0
ENSMUSG00000104221,0,0,0,0,0,0
ENSMUSG00000102250,0,0,0,0,0,0
ENSMUSG00000102317,0,0,0,0,0,0
ENSMUSG00000103563,0,0,0,0,0,0
ENSMUSG00000102465,0,0,0,0,0,0
ENSMUSG00000102659,0,0,0,0,0,0
ENSMUSG00000103924,0,0,0,0,0,0
ENSMUSG00000104132,0,0,0,0,0,0
ENSMUSG00000102747,0,0,0,0,0,0
ENSMUSG00000102386,0,0,0,0,0,0
ENSMUSG00000103004,0,0,0,0,0,0
ENSMUSG00000104516,0,0,0,0,0,0
ENSMUSG00000101618,0,0,0,0,0,0
ENSMUSG00000099458,0,0,0,0,0,0
ENSMUSG00000088111,0,0,0,0,0,0
ENSMUSG00000073722,0,0,0,0,0,0
ENSMUSG00000095256,0,0,0,0,0,0
ENSMUSG00000100310,0,0,0,0,0,0
ENSMUSG00000101514,290,186,283,285,331,211
ENSMUSG00000101033,0,0,0,0,0,0
ENSMUSG00000101372,0,1,0,1,0,0
ENSMUSG00000103241,0,0,0,0,0,0
ENSMUSG00000086240,1,1,1,2,3,5
ENSMUSG00000048411,0,0,0,0,0,0
ENSMUSG00000081557,1,0,0,0,0,0
ENSMUSG00000058590,0,0,0,0,0,0
ENSMUSG00000101235,0,0,0,0,0,0
ENSMUSG00000064433,0,0,0,0,0,0
ENSMUSG00000080625,0,0,0,0,0,0
ENSMUSG00000080391,0,0,0,0,0,0
ENSMUSG00000099257,0,0,0,0,0,0
