,KO_B477,WT_B483,WT_B559,KO_B560,KO_B561,WT_B562
ENSMUSG00000101249,746,335,397,96,162,396
ENSMUSG00000073725,2486,1475,1374,442,784,2150
ENSMUSG00000100808,0,0,0,0,0,0
ENSMUSG00000100483,0,0,0,0,0,0
ENSMUSG00000100450,0,0,0,0,0,0
ENSMUSG00000099392,0,0,0,0,0,0
ENSMUSG00000033569.,0,0,0,0,0,1
ENSMUSG00000080849,0,0,0,0,0,0
ENSMUSG00000104257,0,0,0,0,0,0
ENSMUSG00000096866,0,0,0,0,0,0
ENSMUSG00000102296,0,0,0,0,0,0
ENSMUSG00000103209,0,0,0,0,0,0
ENSMUSG00000104027,0,0,0,0,0,0
ENSMUSG00000102407,0,0,0,0,0,0
ENSMUSG00000103214,0,0,0,0,0,0
ENSMUSG00000104100,0,0,0,0,0,0
ENSMUSG00000084740,0,0,0,0,0,0
ENSMUSG00000103889,0,0,0,0,0,0
ENSMUSG00000101301,0,0,0,0,0,0
ENSMUSG00000104221,0,0,0,0,0,0
ENSMUSG00000102250,0,0,0,0,0,0
ENSMUSG00000102317,0,0,0,0,0,0
ENSMUSG00000103563,0,0,0,0,0,0
ENSMUSG00000102465,0,0,0,0,0,0
ENSMUSG00000102659,0,0,0,0,0,0
ENSMUSG00000103924,0,0,0,0,0,0
ENSMUSG00000104132,0,0,0,0,0,0
ENSMUSG00000102747,0,0,0,0,0,0
ENSMUSG00000102386,0,0,0,0,0,0
ENSMUSG00000103004,0,0,0,0,0,0
ENSMUSG00000104516,0,0,0,0,0,0
ENSMUSG00000101618,0,0,0,0,0,0
ENSMUSG00000099458,0,0,0,0,0,0
ENSMUSG00000088111,0,0,0,0,0,0
ENSMUSG00000073722,0,0,0,0,0,0
ENSMUSG00000095256,0,0,0,0,0,0
ENSMUSG00000100310,0,0,0,0,0,0
ENSMUSG00000101514,186,166,160,32,104,240
ENSMUSG00000101033,0,0,0,0,0,0
ENSMUSG00000101372,1,0,0,0,1,0
ENSMUSG00000103241,0,0,0,0,0,0
ENSMUSG00000086240,1,1,0,2,1,1
ENSMUSG00000048411,0,0,0,0,0,0
ENSMUSG00000081557,0,0,0,0,0,0
ENSMUSG00000058590,0,0,0,0,0,0
ENSMUSG00000101235,0,0,0,0,0,0
ENSMUSG00000064433,0,0,0,0,0,0
ENSMUSG00000080625,0,0,0,0,0,0
ENSMUSG00000080391,0,0,0,0,0,0
ENSMUSG00000099257,0,0,0,0,0,0
ENSMUSG00000099492,22,1,4,1,1,10
ENSMUSG00000101726,0,0,0,0,0,0
ENSMUSG00000096829,0,0,0,0,0,0
ENSMUSG00000098883,0,0,0,0,0,0
ENSMUSG00000053185,0,0,0,0,0,0
ENSMUSG00000100261,1,1,0,0,0,0
ENSMUSG00000101180,0,0,0,0,0,0
ENSMUSG00000048874.,3545,1284,1305,538,1035,2159
ENSMUSG00000103783,3,0,0,0,0,0
ENSMUSG00000104315,4,1,0,0,0,0
ENSMUSG00000026064.,391,223,135,18,90,303
ENSMUSG00000117310,200,94,68,21,74,124
ENSMUSG00000117091,0,0,0,0,0,0
ENSMUSG00000086726,0,0,0,0,0,0
ENSMUSG00000086727,22,16,6,9,12,15
ENSMUSG00000100237,5,0,3,3,1,5
ENSMUSG00000098529,0,0,0,0,0,0
ENSMUSG00000100910,0,0,0,0,0,1
ENSMUSG00000099796,0,0,0,1,0,0
ENSMUSG00000050217.,0,0,0,0,0,0
ENSMUSG00000026063,0,0,0,0,0,0
ENSMUSG00000077664,0,0,0,0,0,0
ENSMUSG00000100205,0,0,0,0,0,0
ENSMUSG00000100592,0,0,0,0,0,0
ENSMUSG00000094215,0,0,0,0,0,0
ENSMUSG00000101093,0,0,0,0,0,0
ENSMUSG00000070960,7,5,3,1,1,4
ENSMUSG00000088620,0,0,0,0,0,0
ENSMUSG00000082159,0,0,0,0,0,0
ENSMUSG00000026058.,0,0,0,0,0,0
ENSMUSG00000064688,0,0,0,0,0,0
ENSMUSG00000103482,0,0,0,0,0,0
ENSMUSG00000104498,1,0,0,0,0,0
ENSMUSG00000104313,0,0,0,0,0,0
ENSMUSG00000102865,0,0,0,0,0,0
ENSMUSG00000102321,0,0,0,0,0,0
ENSMUSG00000091318,0,0,0,0,0,0
ENSMUSG00000089489,0,0,0,0,0,0
ENSMUSG00000104433,0,0,0,0,0,0
ENSMUSG00000089395,0,0,0,0,0,0
ENSMUSG00000102926,0,0,0,0,0,0
ENSMUSG00000100497,0,0,0,0,0,0
ENSMUSG00000102917,0,0,0,0,0,0
ENSMUSG00000100481,1,0,0,0,0,1
ENSMUSG00000100590,0,0,0,0,0,0
ENSMUSG00000088750,0,0,0,0,0,0
ENSMUSG00000104230,0,0,0,0,0,0
ENSMUSG00000101754,0,0,0,0,0,0
ENSMUSG00000065223,0,0,0,0,0,0
ENSMUSG00000100318,0,0,0,0,0,0
ENSMUSG00000101612,0,0,0,0,0,0
ENSMUSG00000065260,0,0,0,0,0,0
ENSMUSG00000026134.,143,84,87,21,79,111
ENSMUSG00000101682,0,0,0,0,0,0
ENSMUSG00000102714,0,0,0,0,0,0
ENSMUSG00000102093,0,0,0,0,0,0
ENSMUSG00000103746,2,2,0,0,1,6
ENSMUSG00000102198,0,0,0,0,0,0
ENSMUSG00000004768.,198,172,162,35,166,227
ENSMUSG00000042215,38,31,56,5,19,53
ENSMUSG00000103072,0,1,0,0,0,0
ENSMUSG00000042197.,567,265,295,95,143,409
ENSMUSG00000081402,2,0,7,0,0,3
ENSMUSG00000042182.,12,7,0,1,2,1
ENSMUSG00000104416,0,0,0,0,0,0
ENSMUSG00000026131.,7677,3283,2916,1243,2079,4604
ENSMUSG00000103596,0,0,0,0,0,0
ENSMUSG00000099382,0,0,0,0,0,0
ENSMUSG00000084506,0,0,0,0,0,0
ENSMUSG00000103364,1,0,0,0,0,0
ENSMUSG00000105982,0,0,0,0,0,0
ENSMUSG00000096992,1,0,0,0,0,0
ENSMUSG00000103001,0,0,0,0,0,0
ENSMUSG00000104397,0,0,0,0,0,0
ENSMUSG00000102839,0,0,0,0,0,0
ENSMUSG00000101206,0,0,0,0,0,0
ENSMUSG00000101462,5,0,0,0,2,0
ENSMUSG00000102336,27,5,7,2,10,11
ENSMUSG00000092852,0,0,0,0,0,0
ENSMUSG00000042111,288,163,176,58,76,257
ENSMUSG00000101711,0,1,0,0,1,0
ENSMUSG00000026127.,859,501,541,142,293,738
ENSMUSG00000026126.,29,8,3,2,3,4
